"Mute the volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Muted volume </TEXT>", 'SystemControlProtocol volume'
"Mute volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Muted volume </TEXT>", 'SystemControlProtocol volume'
"0 volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Muted volume </TEXT>", 'SystemControlProtocol volume'
"full the volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Maxim volume </TEXT>", 'SystemControlProtocol volume'
"max the volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Maxim volume </TEXT>", 'SystemControlProtocol volume'
"full volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Maxim volume </TEXT>", 'SystemControlProtocol volume'
"max volume","<INTENT> #PROTOCOL_CODE# #volume# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> Maxim volume </TEXT>", 'SystemControlProtocol volume'
"Complete dull the brightness","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> 0 brightness </TEXT>", 'SystemControlProtocol brightness'
"0 brightness","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> 0 brightness </TEXT>", 'SystemControlProtocol brightness'
"full Brightness","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> full brightness </TEXT>", 'SystemControlProtocol brightness'
"max the brightness","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> full brightness </TEXT>", 'SystemControlProtocol brightness'
"full light","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> full brightness </TEXT>", 'SystemControlProtocol brightness'
"max brightness","<INTENT> #PROTOCOL_CODE# #brightness# </INTENT> <PARAMS> qty=0 </PARAMS> <TEXT> full brightness </TEXT>", 'SystemControlProtocol brightness'
