"How to bake a cake", "<INTENT>105 1</INTENT><PARAMS>query=How to bake a cake</PARAMS><TEXT>Here are some recipes and tutorials for baking cakes.</TEXT>"
"What is the capital of France?", "<INTENT>105 1</INTENT><PARAMS>query=What is the capital of France?</PARAMS><TEXT>The capital of France is Paris.</TEXT>"
"How to tie a tie", "<INTENT>105 1</INTENT><PARAMS>query=How to tie a tie</PARAMS><TEXT>Here's a step-by-step guide on tying a tie.</TEXT>"
"Nature wallpapers", "<INTENT>105 3</INTENT><PARAMS>query=Nature wallpapers</PARAMS><TEXT>Here are some beautiful nature wallpapers for you.</TEXT>"
"Latest smartphones on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Latest smartphones on Amazon</PARAMS><TEXT>Here are some of the latest smartphones available on Amazon.</TEXT>"
"How to make pizza at home", "<INTENT>105 1</INTENT><PARAMS>query=How to make pizza at home</PARAMS><TEXT>Here's a pizza recipe you can try at home.</TEXT>"
"Cute kitten images", "<INTENT>105 3</INTENT><PARAMS>query=Cute kitten images</PARAMS><TEXT>Here are some adorable kitten images for you to enjoy.</TEXT>"
"Best laptops under $1000 on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best laptops under $1000 on Amazon</PARAMS><TEXT>Here are some top-rated laptops under $1000 available on Amazon.</TEXT>"
"How to learn Spanish", "<INTENT>105 1</INTENT><PARAMS>query=How to learn Spanish</PARAMS><TEXT>Here are some tips and resources for learning Spanish.</TEXT>"
"Beach sunset images", "<INTENT>105 3</INTENT><PARAMS>query=Beach sunset images</PARAMS><TEXT>Here are some breathtaking beach sunset images.</TEXT>"
"Best books to read on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best books to read on Amazon</PARAMS><TEXT>Here are some highly recommended books available on Amazon.</TEXT>"
"Healthy breakfast recipes", "<INTENT>105 1</INTENT><PARAMS>query=Healthy breakfast recipes</PARAMS><TEXT>Here are some nutritious breakfast recipes to start your day.</TEXT>"
"Mountain landscape images", "<INTENT>105 3</INTENT><PARAMS>query=Mountain landscape images</PARAMS><TEXT>Here are some stunning mountain landscape images.</TEXT>"
"Best headphones under $100 on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best headphones under $100 on Amazon</PARAMS><TEXT>Here are some top-rated headphones under $100 available on Amazon.</TEXT>"
"How to meditate for beginners", "<INTENT>105 1</INTENT><PARAMS>query=How to meditate for beginners</PARAMS><TEXT>Here's a beginner's guide to meditation.</TEXT>"
"Fall foliage images", "<INTENT>105 3</INTENT><PARAMS>query=Fall foliage images</PARAMS><TEXT>Here are some beautiful fall foliage images.</TEXT>"
"Best-selling video games on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best-selling video games on Amazon</PARAMS><TEXT>Here are some of the best-selling video games available on Amazon.</TEXT>"
"How to start a blog", "<INTENT>105 1</INTENT><PARAMS>query=How to start a blog</PARAMS><TEXT>Here are some steps to help you start your own blog.</TEXT>"
"Starry night sky images", "<INTENT>105 3</INTENT><PARAMS>query=Starry night sky images</PARAMS><TEXT>Here are some mesmerizing starry night sky images.</TEXT>"
"Best-selling novels on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best-selling novels on Amazon</PARAMS><TEXT>Here are some of the best-selling novels available on Amazon.</TEXT>"
